year bd_best bd_low bd_high type_of_conflict battle_location battle_location
2010 27 27 27 3 ISR Israel
2011 43 43 43 3 ISR Israel
2012 38 38 38 3 ISR Israel
2014 227 227 229 3 ISR Israel
2019 50 50 51 3 ISR: SYR Israel:_Syria
2021 36 36 36 3 ISR Israel
1996 66 66 66 3 ISR Israel
2000 47 47 47 3 ISR Israel
2001 75 74 76 3 ISR Israel
2002 116 115 152 3 ISR Israel
2002 131 131 141 3 ISR Israel
2003 38 38 42 3 ISR Israel
2004 105 105 116 3 ISR Israel
2006 45 42 52 3 ISR Israel
1992 47 47 47 3 IND India
1993 92 92 128 3 IND India
1994 60 58 69 3 IND India
1995 95 95 95 3 IND India
1996 40 40 40 3 IND India
1997 37 37 37 3 IND India
2000 30 18 30 3 IND India
1992 404 402 404 3 MMR  Myanmar_(Burma)
1996 124 124 140 3 MMR  Myanmar_(Burma)
2005 35 35 35 3 MMR : THA Myanmar_(Burma):_Thailand
2021 62 40 317 3 MMR  Myanmar_(Burma)
1991 237 237 1261 3 IRQ Iraq
1992 280 280 741 3 IRQ Iraq
1993 75 75 203 3 IRQ Iraq
1994 34 34 36 3 IRQ Iraq
1995 325 325 650 3 IRQ Iraq
1996 42 42 66 3 IRQ Iraq
2004 414 405 488 4 IRQ Iraq
2005 302 302 329 4 IRQ Iraq
2006 160 96 163 4 IRQ Iraq
2007 25 24 28 4 IRQ Iraq
2011 27 27 27 4 IRQ Iraq
2004 2422 2418 3751 4 IRQ Iraq
2005 2208 2153 3058 4 IRQ Iraq
2006 3732 3065 3917 4 IRQ Iraq
2007 1741 1626 1938 4 IRQ Iraq
2008 1246 1242 1289 4 IRQ Iraq
2009 1036 926 1074 4 IRQ Iraq
2010 989 810 1040 4 IRQ Iraq
2011 837 710 932 4 IRQ Iraq
2012 565 487 598 3 IRQ Iraq
2013 1870 1723 1925 3 IRQ: SYR Iraq:_Syria
2014 13761 13035 15037 4 IRQ: SYR Iraq:_Syria
2015 10981 10919 12182 4 FRA: IRQ: LBY: SYR France:_Iraq:_Libya:_Syria
2016 9775 9543 10214 4 Belgium: IRQ: LBY: SYR Belgium:_Iraq:_Libya:_Syria
2017 10025 9776 12186 4 AFG: FRA: IRQ: PAK: SYR: YEM  Afghanistan:_France:_Iraq:_Pakistan:_Syria:_Yemen_(North_Yemen)
2018 866 856 900 4 Australia: Belgium: FRA: IRQ: SYR Australia:_Belgium:_France:_Iraq:_Syria
2019 498 497 520 4 IRQ: SYR: GBR Iraq:_Syria:_United_Kingdom
2020 671 638 711 4 IRQ: SYR Iraq:_Syria
2021 707 628 816 4 AFG: IRQ Afghanistan:_Iraq
2005 98 87 176 4 IRQ Iraq
2006 31 31 43 4 IRQ Iraq
2007 75 75 75 4 IRQ Iraq
1989 458 401 616 4 LBN Lebanon
1990 700 400 800 4 LBN Lebanon
1989 253 205 290 4 LBN Lebanon
1989 30 30 30 3 LAO Laos
1990 249 45 249 3 LAO Laos
1993 130 130 230 3 MMR  Myanmar_(Burma)
1994 526 526 984 3 MMR  Myanmar_(Burma)
1995 174 174 332 3 MMR  Myanmar_(Burma)
1996 25 25 25 3 MMR  Myanmar_(Burma)
1997 152 152 157 3 MMR  Myanmar_(Burma)
1998 25 4 25 3 MMR  Myanmar_(Burma)
1999 25 25 25 3 MMR  Myanmar_(Burma)
2000 69 69 69 3 MMR  Myanmar_(Burma)
2001 117 117 117 3 MMR : THA Myanmar_(Burma):_Thailand
2002 184 183 250 3 MMR : THA Myanmar_(Burma):_Thailand
2005 27 27 28 3 MMR  Myanmar_(Burma)
2006 48 38 49 3 MMR  Myanmar_(Burma)
2007 29 29 29 3 MMR  Myanmar_(Burma)
2008 31 31 31 3 MMR  Myanmar_(Burma)
2009 52 52 60 3 MMR  Myanmar_(Burma)
2010 36 36 36 3 MMR  Myanmar_(Burma)
2011 29 29 29 3 MMR  Myanmar_(Burma)
2013 32 29 34 3 MMR  Myanmar_(Burma)
2020 1592 1489 3661 4 ETH Ethiopia
2021 8637 8103 42253 4 ETH Ethiopia
1989 18366 18366 18366 3 ETH Ethiopia
1990 18985 18985 18985 3 ETH Ethiopia
1991 3918 3918 4768 3 ETH Ethiopia
1989 37 37 54 3 ETH Ethiopia
1996 44 44 46 3 NPL Nepal
1997 40 40 40 3 NPL Nepal
1998 250 118 302 3 NPL Nepal
1999 156 147 306 3 NPL Nepal
2000 268 259 295 3 NPL Nepal
2001 429 380 479 3 NPL Nepal
2002 3946 2773 4105 3 NPL Nepal
2003 1341 1275 1405 3 NPL Nepal
2004 1880 1848 2040 3 NPL Nepal
2005 1104 1100 1169 3 NPL Nepal
2006 457 452 477 3 NPL Nepal
1989 25 25 25 3 IRQ Iraq
1990 34 34 34 3 IRQ Iraq
1991 298 298 1558 3 IRQ Iraq
1989 25 25 25 3 IRQ Iraq
1990 60 60 60 3 IRQ Iraq
1991 949 949 1045 3 IRQ Iraq
1992 26 26 52 3 IRQ Iraq
1995 262 262 302 3 IRQ Iraq
1996 356 356 366 3 IRN: IRQ Iran:_Iraq
2020 25 25 25 2 IND India
1989 5930 5930 5930 3 ETH Ethiopia
1990 30633 30633 30633 3 ETH Ethiopia
1991 6907 6904 6907 3 ETH Ethiopia
1992 144 144 263 3 VEN Venezuela
1996 1304 1164 1852 4 COD  DR_Congo_(Zaire)
1997 4465 4046 4834 4 COD  DR_Congo_(Zaire)
1998 374 156 402 4 COD  DR_Congo_(Zaire)
1999 1807 1807 1807 4 COD  DR_Congo_(Zaire)
2000 389 389 1265 4 COD  DR_Congo_(Zaire)
1998 2894 2866 5309 4 COD  DR_Congo_(Zaire)
1999 1146 791 1422 4 COD  DR_Congo_(Zaire)
2000 905 871 1193 4 COD  DR_Congo_(Zaire)
2001 454 454 734 4 COD  DR_Congo_(Zaire)
2006 182 54 362 3 COD : UGA DR_Congo_(Zaire):_Uganda
2007 516 516 553 3 COD  DR_Congo_(Zaire)
2008 486 486 486 3 COD  DR_Congo_(Zaire)
1991 272 272 551 3 BDI Burundi
1992 61 61 61 3 BDI Burundi
1994 56 56 532 3 BDI Burundi
1995 254 235 526 3 BDI Burundi
1996 531 496 962 3 BDI Burundi
1997 396 396 719 3 BDI Burundi
1998 273 273 322 3 BDI Burundi
1997 131 31 329 3 BDI Burundi
1997 112 112 168 3 BDI Burundi
1998 305 305 345 3 BDI Burundi
1999 292 248 386 3 BDI Burundi
2000 448 404 838 3 BDI Burundi
2001 740 727 1507 3 BDI Burundi
2002 562 500 797 3 BDI Burundi
2003 710 710 733 3 BDI Burundi
2004 387 367 425 3 BDI Burundi
2005 286 286 356 3 BDI Burundi
2006 141 141 141 3 BDI Burundi
2008 201 201 205 3 BDI Burundi
1998 43 43 73 3 BDI Burundi
1999 232 73 293 3 BDI Burundi
2000 900 823 1285 3 BDI Burundi
2001 442 442 981 3 BDI Burundi
2002 552 282 794 3 BDI: COD  Burundi:_DR_Congo_(Zaire)
2003 262 262 405 3 BDI Burundi
1989 235 235 835 3 TCD: SDN Chad:_Sudan
1990 252 252 2099 3 TCD Chad
1989 50 50 50 3 TCD Chad
1989 30 30 700 3 SDN Sudan
1990 1100 1100 6833 3 TCD: SDN Chad:_Sudan
1991 25 25 25 3 TCD Chad
1992 726 726 1380 3 TCD Chad
1993 40 40 40 3 TCD Chad
1997 39 39 39 3 TCD Chad
1991 43 43 43 3 TCD Chad
1992 115 115 115 3 TCD Chad
1993 25 25 25 3 TCD Chad
1994 25 25 25 3 TCD Chad
1992 33 33 33 3 TCD Chad
1993 30 30 30 3 TCD Chad
1994 100 100 204 3 TCD Chad
1992 25 25 25 3 TCD Chad
1993 25 25 25 3 TCD Chad
1994 31 31 31 3 TCD Chad
1997 58 58 58 3 TCD Chad
1998 34 34 34 3 TCD Chad
1999 394 394 1149 3 TCD Chad
2000 989 989 1041 3 TCD Chad
2001 226 226 326 3 TCD Chad
2002 294 294 350 3 TCD Chad
2003 37 37 189 3 TCD Chad
2005 100 100 356 3 TCD Chad
2006 879 879 988 3 TCD Chad
2006 32 32 543 3 TCD Chad
2006 339 339 1092 3 TCD Chad
2007 69 69 380 3 TCD Chad
2008 991 991 1361 3 TCD Chad
2009 131 131 324 3 TCD Chad
2010 42 42 83 3 TCD: SDN Chad:_Sudan
1989 63 63 751 3 COL Colombia
1990 351 351 418 3 COL Colombia
1991 666 666 681 3 COL Colombia
1992 1404 1404 1428 3 COL Colombia
1993 130 130 140 3 COL Colombia
1994 1082 1082 1291 3 COL Colombia
1995 770 770 775 3 COL Colombia
1996 885 878 922 3 COL Colombia
1997 442 442 558 3 COL Colombia
1998 876 875 1321 3 COL Colombia
1999 1160 1139 1419 3 COL Colombia
2000 1534 1520 1834 3 COL Colombia
2001 1490 1485 1605 3 COL Colombia
2002 2212 2156 2734 3 COL Colombia
2003 653 628 671 3 COL Colombia
2004 968 944 1020 3 COL Colombia
2005 1222 1222 1287 3 COL Colombia
2006 468 468 480 3 COL Colombia
2007 316 316 323 3 COL: VEN Colombia:_Venezuela
2008 217 213 217 3 COL: ECU Colombia:_Ecuador
2009 377 377 421 3 COL Colombia
2010 367 367 373 3 COL Colombia
2011 202 202 208 3 COL Colombia
2012 211 211 310 3 COL Colombia
2013 113 113 156 3 COL Colombia
2014 119 119 119 3 COL Colombia
2015 84 84 84 3 COL Colombia
1989 142 141 160 3 COL Colombia
1990 115 115 115 3 COL Colombia
1991 59 59 73 3 COL Colombia
1992 75 75 75 3 COL Colombia
1993 52 52 52 3 COL Colombia
1994 41 41 43 3 COL Colombia
1995 53 53 53 3 COL Colombia
1996 307 307 307 3 COL Colombia
1997 118 118 118 3 COL Colombia
1998 63 63 63 3 COL Colombia
1999 214 214 244 3 COL Colombia
2000 298 298 317 3 COL Colombia
2001 374 374 378 3 COL Colombia
2002 539 539 539 3 COL Colombia
2003 77 77 79 3 COL Colombia
2004 240 240 240 3 COL Colombia
2005 167 167 168 3 COL Colombia
2006 34 34 34 3 COL Colombia
2008 27 27 36 3 COL Colombia
2010 52 52 52 3 COL Colombia
2013 27 27 27 3 COL Colombia
2015 50 50 56 3 COL Colombia
2016 30 30 30 3 COL Colombia
2018 55 55 55 3 COL Colombia
2019 65 65 69 3 COL Colombia
2021 48 48 55 3 COL Colombia
1989 33 33 33 3 COL Colombia
1990 35 35 35 3 COL Colombia
2018 25 24 41 3 IDN Indonesia
2021 51 24 59 3 IDN Indonesia
1989 1650 1650 1661 3 PER Peru
1990 1052 1052 1052 3 PER Peru
1991 1050 1050 1051 3 PER Peru
1992 975 975 977 3 PER Peru
1993 612 612 617 3 PER Peru
1994 253 253 253 3 PER Peru
1995 178 178 178 3 PER Peru
1996 80 80 80 3 PER Peru
1997 93 93 99 3 PER Peru
1998 25 25 25 3 PER Peru
1999 75 75 75 3 PER Peru
2007 32 32 32 3 PER Peru
2008 40 40 40 3 PER Peru
2009 50 50 80 3 PER Peru
2010 28 28 28 3 PER Peru
1989 177 160 177 3 PER Peru
1990 47 47 47 3 PER Peru
1991 88 88 88 3 PER Peru
1992 61 61 61 3 PER Peru
1993 60 60 60 3 PER Peru
2011 29 29 36 2 KHM : THA Cambodia_(Kampuchea):_Thailand
2009 405 402 835 3 NGA Nigeria
2011 325 267 547 3 NGA Nigeria
2012 811 811 1155 4 NGA Nigeria
2013 1629 1474 2081 4 NGA Nigeria
2014 4780 4725 5208 4 CMR: NGA Cameroon:_Nigeria
2015 2703 2703 3025 4 TCD: NER: NGA Chad:_Niger:_Nigeria
2016 164 164 180 4 NGA Nigeria
2017 1062 1061 1114 4 NGA Nigeria
2018 335 322 455 4 NGA Nigeria
2019 313 305 369 3 NGA Nigeria
2020 442 403 503 4 NGA Nigeria
2021 273 266 304 4 NGA Nigeria
1989 404 404 1894 4 KHM : THA Cambodia_(Kampuchea):_Thailand
1990 174 168 557 3 KHM  Cambodia_(Kampuchea)
1991 40 40 99 3 KHM  Cambodia_(Kampuchea)
1992 118 118 118 3 KHM  Cambodia_(Kampuchea)
1993 274 274 393 3 KHM  Cambodia_(Kampuchea)
1994 464 404 1126 3 KHM  Cambodia_(Kampuchea)
1995 694 684 1105 3 KHM  Cambodia_(Kampuchea)
1996 788 788 1007 3 KHM  Cambodia_(Kampuchea)
1997 117 117 206 3 KHM  Cambodia_(Kampuchea)
1998 127 127 155 3 KHM : THA Cambodia_(Kampuchea):_Thailand
1989 271 271 401 4 KHM  Cambodia_(Kampuchea)
1990 100 100 100 3 KHM  Cambodia_(Kampuchea)
1991 30 30 102 3 KHM  Cambodia_(Kampuchea)
1989 143 143 143 4 KHM  Cambodia_(Kampuchea)
1991 150 150 250 3 KHM  Cambodia_(Kampuchea)
2000 217 182 522 3 GIN Guinea
2001 432 432 778 3 GIN: LBR: SLE Guinea:_Liberia:_Sierra_Leone
1989 115 115 115 3 PHL Philippines
1990 64 64 64 3 PHL Philippines
1993 124 124 147 3 PHL Philippines
1990 77 77 77 3 PHL Philippines
1994 104 104 121 3 PHL Philippines
1996 135 135 136 3 PHL Philippines
1997 201 161 275 3 PHL Philippines
1998 38 38 38 3 PHL Philippines
1999 106 73 135 3 PHL Philippines
2000 1055 1038 1129 3 PHL Philippines
2001 129 129 141 3 PHL Philippines
2002 129 129 146 3 PHL Philippines
2003 690 572 899 3 PHL Philippines
2004 30 27 48 3 PHL Philippines
2005 39 37 54 3 PHL Philippines
2007 49 49 54 3 PHL Philippines
2008 297 297 546 3 PHL Philippines
2009 318 312 345 3 PHL Philippines
2011 83 83 86 3 PHL Philippines
2015 65 65 83 3 PHL Philippines
1993 30 30 31 3 PHL Philippines
1994 92 92 92 3 PHL Philippines
1995 116 116 122 3 PHL Philippines
1996 45 45 48 3 PHL Philippines
1997 69 69 73 3 PHL Philippines
1998 55 55 55 3 PHL Philippines
2000 372 367 430 3 PHL Philippines
2001 327 327 443 3 PHL Philippines
2002 253 253 270 3 PHL Philippines
2003 128 121 135 3 PHL Philippines
2004 39 39 51 3 PHL Philippines
2005 165 164 174 3 PHL Philippines
2006 50 50 116 3 PHL Philippines
2007 233 233 247 3 PHL Philippines
2009 199 189 203 3 PHL Philippines
2010 74 74 85 3 PHL Philippines
2011 63 63 85 3 PHL Philippines
2012 78 72 80 3 PHL Philippines
2013 48 48 48 3 PHL Philippines
2014 142 142 143 3 PHL Philippines
2015 161 151 178 3 PHL Philippines
2016 145 132 151 3 PHL Philippines
2017 84 84 90 4 MYS: PHL Malaysia:_Philippines
2018 56 56 56 3 PHL Philippines
2019 35 35 35 3 PHL Philippines
2020 108 108 109 3 PHL Philippines
2001 196 99 213 3 PHL Philippines
2005 32 32 59 3 PHL Philippines
2013 239 239 239 3 PHL Philippines
2007 25 25 25 3 PHL Philippines
1989 4253 4253 5253 3 SDN: UGA Sudan:_Uganda
1990 4335 4335 4335 3 SDN: UGA Sudan:_Uganda
1991 1317 1317 4317 3 SDN: UGA Sudan:_Uganda
1992 1083 1083 4083 3 SDN Sudan
1993 942 942 942 3 SDN Sudan
1994 337 337 337 3 SDN Sudan
1995 1000 1000 1882 3 SDN Sudan
1996 2152 2152 2152 3 SDN Sudan
1997 3005 3005 6516 3 SDN Sudan
1998 4211 4211 4807 3 SDN Sudan
1999 1000 1000 1189 3 SDN Sudan
2000 1930 1930 2699 3 SDN Sudan
2001 3357 3357 3607 3 SDN Sudan
2002 2021 2021 3021 3 SDN Sudan
2003 44 44 120 3 SDN Sudan
2004 253 253 367 3 SDN Sudan
1996 137 137 139 3 SDN Sudan
1997 704 704 712 3 SDN Sudan
1998 680 680 765 3 SDN Sudan
1999 408 408 408 3 SDN Sudan
2000 911 911 911 3 SDN Sudan
2001 51 51 51 3 SDN Sudan
2003 900 900 918 4 SDN Sudan
2004 37 37 477 3 SDN Sudan
2007 131 123 134 3 SDN Sudan
2008 422 422 636 3 SDN Sudan
2009 304 304 304 3 TCD: SDN Chad:_Sudan
2010 717 717 999 3 SDN Sudan
2011 63 63 70 3 SDN Sudan
2003 1055 955 1818 4 SDN Sudan
2004 2988 2988 3744 3 SDN Sudan
2005 161 161 191 3 SDN Sudan
2006 58 58 58 3 SDN Sudan
2008 140 140 429 3 SDN Sudan
2009 49 49 66 3 SDN Sudan
2010 203 203 590 3 SDN Sudan
2011 127 127 194 3 SDN Sudan
2017 50 50 50 3 SDN Sudan
2018 243 191 500 3 SDN Sudan
2020 45 45 48 3 SDN Sudan
2021 31 31 72 3 SDN Sudan
2006 810 810 2524 3 SDN Sudan
2006 134 134 137 3 SDN Sudan
2007 86 78 88 3 SDN Sudan
2008 36 36 411 3 SDN Sudan
2010 90 90 299 3 SDN Sudan
2011 492 492 562 3 SDN Sudan
1989 388 388 517 3 LKA Sri_Lanka
1990 61 61 61 3 LKA Sri_Lanka
1989 453 453 474 3 UGA Uganda
1990 544 544 544 3 UGA Uganda
1991 37 37 37 3 UGA Uganda
1992 72 72 72 3 UGA Uganda
1989 566 566 566 3 UGA Uganda
1990 77 77 89 3 UGA Uganda
1991 816 816 816 3 UGA Uganda
1994 149 149 226 3 UGA Uganda
1995 295 295 332 3 SDN: UGA Sudan:_Uganda
1996 659 659 1005 3 UGA Uganda
1997 502 502 763 3 SDN: UGA Sudan:_Uganda
1998 551 551 654 3 UGA Uganda
2000 164 164 181 3 UGA Uganda
2001 110 110 158 3 SDN: UGA Sudan:_Uganda
2002 1010 1010 1805 3 SDN: UGA Sudan:_Uganda
2003 642 641 1100 3 SDN: UGA Sudan:_Uganda
2004 1610 1609 2215 3 SDN: UGA Sudan:_Uganda
2005 695 695 814 4 SDN: UGA Sudan:_Uganda
2006 221 221 318 3 COD : SDN: UGA DR_Congo_(Zaire):_Sudan:_Uganda
2008 53 53 66 4 COD : SDN DR_Congo_(Zaire):_Sudan
2009 238 238 263 4 CAF: COD: SDN Central_African_Republic:_DR_Congo_(Zaire):_Sudan
2010 51 51 69 4 CAF: COD: SDN Central_African_Republic:_DR_Congo_(Zaire):_Sudan
2011 64 64 66 4 CAF: COD: SSD: SDN Central_African_Republic:_DR_Congo_(Zaire):_South_Sudan:_Sudan
2013 47 47 47 4 CAF: COD Central_African_Republic:_DR_Congo_(Zaire)
2014 29 29 29 4 CAF: COD Central_African_Republic:_DR_Congo_(Zaire)
1996 383 383 383 3 COD: UGA DR_Congo_(Zaire):_Uganda
1997 351 351 381 3 UGA Uganda
1998 284 284 394 3 COD : UGA DR_Congo_(Zaire):_Uganda
1999 355 355 355 3 COD : UGA DR_Congo_(Zaire):_Uganda
2000 224 224 226 3 COD : UGA DR_Congo_(Zaire):_Uganda
2001 79 79 79 3 COD : UGA DR_Congo_(Zaire):_Uganda
2002 76 76 76 3 COD : UGA DR_Congo_(Zaire):_Uganda
2007 91 91 147 3 UGA Uganda
2010 69 69 69 4 COD  DR_Congo_(Zaire)
2011 72 72 80 4 COD  DR_Congo_(Zaire)
2013 53 53 71 4 COD  DR_Congo_(Zaire)
2014 835 835 1004 4 COD  DR_Congo_(Zaire)
2015 197 163 228 4 COD  DR_Congo_(Zaire)
2016 152 152 153 4 COD  DR_Congo_(Zaire)
2017 237 237 245 4 COD  DR_Congo_(Zaire)
2018 378 303 389 4 COD  DR_Congo_(Zaire)
2019 165 130 173 4 COD  DR_Congo_(Zaire)
1996 198 198 198 3 UGA Uganda
1997 35 35 35 3 UGA Uganda
1989 38 38 39 3 DEU: GBR Germany:_United_Kingdom
1990 44 44 46 3 DEU: NLD: GBR Germany:_Netherlands:_United_Kingdom
1991 26 26 27 3 GBR United_Kingdom
1998 29 29 29 3 GBR United_Kingdom
1989 4924 4924 4952 3 SLV El_Salvador
1990 849 849 999 3 SLV El_Salvador
1991 88 88 93 3 SLV El_Salvador
1989 26 26 26 3 BGD Bangladesh
1990 45 45 45 3 BGD Bangladesh
1991 25 22 45 3 BGD Bangladesh
2012 25 25 35 3 PAK Pakistan
2015 44 44 44 3 PAK Pakistan
2004 43 43 58 3 PAK Pakistan
2006 43 43 52 3 PAK Pakistan
2007 83 82 331 3 PAK Pakistan
2008 54 54 86 3 PAK Pakistan
2009 32 32 48 3 PAK Pakistan
2011 42 42 123 3 PAK Pakistan
2012 31 31 31 3 PAK Pakistan
2013 45 45 45 3 PAK Pakistan
2014 46 46 46 3 PAK Pakistan
2015 31 31 31 3 PAK Pakistan
2016 59 59 59 3 PAK Pakistan
2006 157 157 157 3 PAK Pakistan
2008 143 132 147 3 PAK Pakistan
2009 49 49 54 3 PAK Pakistan
2012 62 62 296 3 PAK Pakistan
2014 44 44 44 3 PAK Pakistan
2015 32 32 32 3 PAK Pakistan
1997 31 31 117 3 ERI Eritrea
1999 25 25 239 3 ERI Eritrea
2003 57 57 57 3 ERI Eritrea
1989 2810 2810 6283 4 AGO Angola
1990 2558 2557 4452 3 AGO Angola
1991 491 491 647 3 AGO Angola
1992 2321 2321 3572 3 AGO Angola
1993 12054 12054 23329 3 AGO Angola
1994 3924 3920 11087 3 AGO: COD  Angola:_DR_Congo_(Zaire)
1995 162 162 522 3 AGO Angola
1998 1041 1041 1516 3 AGO Angola
1999 2273 2273 6431 4 AGO: NAM Angola:_Namibia
2000 1000 407 3799 4 AGO: NAM Angola:_Namibia
2001 1123 1123 2447 4 AGO Angola
2002 470 466 470 4 AGO: NAM Angola:_Namibia
1993 36 36 36 3 ETH Ethiopia
1996 186 186 325 3 ETH: SOM Ethiopia:_Somalia
1999 25 25 92 3 ETH: SOM Ethiopia:_Somalia
1994 50 50 50 3 ETH Ethiopia
1996 25 25 156 3 ETH Ethiopia
1998 25 6 90 3 ETH Ethiopia
1999 25 25 548 3 ETH: SOM Ethiopia:_Somalia
2000 25 0 855 3 ETH Ethiopia
2001 25 25 117 3 ETH Ethiopia
2002 25 25 637 3 ETH Ethiopia
2003 25 25 260 3 ETH Ethiopia
2004 25 25 525 3 ETH: SOM Ethiopia:_Somalia
2005 58 58 695 3 ETH Ethiopia
2006 25 0 818 3 ETH Ethiopia
2007 152 152 737 3 ETH Ethiopia
2008 25 25 416 3 ETH Ethiopia
2009 473 473 995 3 ETH Ethiopia
2010 126 123 1860 3 ETH: SOM Ethiopia:_Somalia
2011 25 25 379 3 ETH: KEN Ethiopia:_Kenya
2012 25 25 406 3 ETH Ethiopia
2013 52 52 908 3 ETH Ethiopia
2014 25 25 222 3 ETH Ethiopia
2015 25 0 138 3 ETH Ethiopia
2016 25 0 50 3 ETH Ethiopia
1992 39 39 39 3 IDN Indonesia
1997 51 51 79 3 IDN Indonesia
1998 30 14 48 3 IDN Indonesia
1999 26 26 30 3 IDN Indonesia
1989 207 207 378 3 MAR Morocco
1989 1149 1144 3750 4 MOZ Mozambique
1990 1577 327 1577 4 MOZ Mozambique
1991 1326 326 2389 3 MOZ Mozambique
1992 309 309 445 3 MOZ Mozambique
2013 42 29 112 3 MOZ Mozambique
2014 30 22 35 3 MOZ Mozambique
2016 55 46 64 3 MOZ Mozambique
1989 1545 1374 1745 4 AFG Afghanistan
1990 581 515 1231 3 AFG Afghanistan
1991 385 334 385 3 AFG Afghanistan
1992 35 35 35 3 AFG Afghanistan
1996 314 314 314 3 AFG Afghanistan
1989 181 1 181 4 AFG Afghanistan
1990 586 586 586 3 AFG Afghanistan
1991 451 451 951 3 AFG Afghanistan
1992 3890 3873 5047 3 AFG Afghanistan
1993 3160 3160 7234 3 AFG Afghanistan
1994 669 669 907 3 AFG Afghanistan
1995 207 207 207 3 AFG Afghanistan
2002 30 30 30 3 AFG Afghanistan
2003 32 32 45 4 AFG Afghanistan
2006 40 40 60 3 AFG Afghanistan
2008 97 92 117 4 AFG: PAK Afghanistan:_Pakistan
2009 54 54 70 4 AFG Afghanistan
2010 98 97 101 4 AFG Afghanistan
2011 49 48 52 4 AFG Afghanistan
2013 35 35 35 4 AFG Afghanistan
1989 3393 474 14991 4 AFG Afghanistan
1990 178 89 220 3 AFG Afghanistan
1991 2441 2346 2441 3 AFG Afghanistan
1989 30 30 30 4 AFG Afghanistan
1989 25 25 104 4 AFG Afghanistan
1990 25 25 25 3 AFG Afghanistan
1991 25 25 25 3 AFG Afghanistan
1992 351 351 378 3 AFG Afghanistan
1993 476 468 486 3 AFG Afghanistan
1994 191 191 946 3 AFG Afghanistan
1995 168 168 168 3 AFG Afghanistan
1990 108 108 213 3 AFG Afghanistan
1993 85 85 85 3 AFG Afghanistan
1994 8077 8077 10102 3 AFG Afghanistan
1995 871 871 1181 3 AFG Afghanistan
1995 4270 4270 4934 3 AFG: PAK Afghanistan:_Pakistan
1996 1922 1912 2183 3 AFG Afghanistan
2003 628 614 939 4 AFG Afghanistan
2004 711 669 1245 4 AFG: PAK Afghanistan:_Pakistan
2005 1628 1424 1992 4 AFG: PAK Afghanistan:_Pakistan
2006 4694 4625 5483 4 AFG: PAK Afghanistan:_Pakistan
2007 6843 6298 8381 4 AFG: PAK Afghanistan:_Pakistan
2008 5558 5112 7072 4 AFG: PAK Afghanistan:_Pakistan
2009 6327 5596 7984 4 AFG: PAK Afghanistan:_Pakistan
2010 6931 6759 8350 4 AFG: PAK Afghanistan:_Pakistan
2011 7374 7231 8238 4 AFG: PAK Afghanistan:_Pakistan
2012 7730 7558 8541 4 AFG: PAK Afghanistan:_Pakistan
2013 8013 7577 10137 4 AFG: PAK Afghanistan:_Pakistan
2014 12345 11555 15718 4 AFG: PAK Afghanistan:_Pakistan
2015 16581 15562 19807 4 AFG: PAK Afghanistan:_Pakistan
2016 15775 14410 21671 4 AFG: PAK Afghanistan:_Pakistan
2017 16173 15398 17678 4 AFG: PAK Afghanistan:_Pakistan
2018 22837 21486 24780 4 AFG: PAK Afghanistan:_Pakistan
2019 28828 26973 33289 4 AFG Afghanistan
2020 20104 18641 21314 4 AFG Afghanistan
2021 34794 33327 37714 4 AFG Afghanistan
1996 941 935 1141 3 AFG Afghanistan
1997 6396 4244 8281 3 AFG Afghanistan
1998 6256 6168 7698 3 AFG Afghanistan
1999 4629 4594 4945 3 AFG Afghanistan
2000 5235 4053 5511 3 AFG Afghanistan
2001 2328 2217 7657 4 AFG Afghanistan
1992 29 29 31 3 IND India
1997 32 12 32 3 IND India
1997 40 40 40 3 IND India
1999 32 38 38 3 IND India
2000 61 59 64 3 IND India
2001 32 32 32 3 IND India
2002 40 40 40 3 IND India
2003 32 32 32 3 IND India
1989 526 526 533 3 NIC Nicaragua
1990 39 39 43 3 NIC Nicaragua
1989 350 350 4254 3 DJI: SOM Djibouti:_Somalia
1990 1229 163 1229 3 DJI: SOM Djibouti:_Somalia
1991 300 25 300 3 SOM Somalia
1989 29 29 250 3 SOM Somalia
1990 25 22 75 3 SOM Somalia
1991 705 705 705 3 SOM Somalia
1990 1456 1456 1658 3 SOM Somalia
1991 3000 3000 3000 3 SOM Somalia
1991 4000 3500 5000 3 SOM Somalia
1992 1154 1154 9823 3 SOM Somalia
1993 25 18 25 3 SOM Somalia
1994 237 237 614 3 SOM Somalia
1995 104 97 108 3 SOM Somalia
1996 256 255 308 3 SOM Somalia
2001 228 223 268 3 SOM Somalia
2002 114 113 207 3 SOM Somalia
2006 547 463 1293 4 SOM Somalia
2007 1546 1528 2046 4 KEN: SOM Kenya:_Somalia
2008 207 203 436 4 SOM Somalia
2008 1284 1230 1639 4 SOM Somalia
2009 1399 1199 1682 4 SOM Somalia
2010 2068 1839 2270 4 SOM Somalia
2011 1938 1559 2259 4 KEN: SOM Kenya:_Somalia
2012 2646 2470 2945 4 KEN: SOM Kenya:_Somalia
2013 940 760 1769 4 ETH: KEN: SOM Ethiopia:_Kenya:_Somalia
2014 1153 905 2303 4 ETH: KEN: SOM Ethiopia:_Kenya:_Somalia
2015 1202 927 2498 4 KEN: SOM Kenya:_Somalia
2016 1925 1199 3119 4 SOM Somalia
2017 1918 1778 2601 4 SOM Somalia
2018 2087 1814 2958 4 SOM Somalia
2019 1912 1662 2397 4 SOM Somalia
